title,url,paroles
A Blue Like The Blue Of Your Eyes,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-blue-like-the-blue-of-your-eyes.html,A blue like the blue of your eyes When they're full of surprise Isn't found in the skies A windfield in clear autumn air Couldn't hope to compare With the gold of your hair A softening wind in July Would be foolish to try To compare with your sigh The strength of a storm on the sea Couldn't possibly be Like the strength of my love A blue like the blue of your eyes Isn't found in the skies Or the glow up above If one day you decide to go your merry way My life would become filled with dismay Filled with dismay A sky full of rain wouldn't say It was nearly as grey As the grey of the day The darkest of nights wouldn't dare to claim It could compare With my aching despair You laugh at me when I'm like this Then you softly dismiss All my tears with a kiss My fool of a heart then takes flight Almost mad with delight Like a skylark above The blue that I see in the skies Can't compare with your eyes When they're shining with love
À chacun sa bohème,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-chacun-sa-boheme.html,"Je vous parle d'un temps La bohème Je vous parle d'un temps La bohème Je vous parle d'un temps Ça voulait dire La nostalgie comme emblème Entre galères et poèmes À chacun sa bohème Je vous parle d'un temps Que les moins de vingt ans Ne peuvent pas connaître Saint-Denis en ce temps-là Était mon seul décor Et mon terrain de fête Une terrasse de café Deux-trois potos qui passent Et le plan s'éternise Et le clocher de la mairie Qui à dix-huit heures Chante le temps des cerises Je vous parle d'un temps Que j'ai connu un temps Comme une belle escale On avait mille projets Qu'on fantasmait Devant une omelette frites À quatre balles On avait des idées Et on refaisait le monde Au pied des bâtiments Le monde a dû nous voir Il nous a offert l'espoir C'est un bon commencement La bohème Je vous parle d'un temps La bohème Je vous parle d'un temps Ça voulait dire On est heureux La bohème Je vous parle d'un temps La bohème Je vous parle d'un temps Ça voulait dire La nostalgie comme emblème Entre galères et poèmes À chacun sa bohème Souvent il m'arrivait devant mon cahier de passer des nuits blanches Noircissant toutes ces pages avec excitation presque comme une revanche Scander des poésies, quelle jolie fantaisie face à des presque frères Sans enjeu précis, se sentir bien en vie et gagner quelques bières L'inspiration était partout, je pouvais souvent la voir déborder De notre innocence, de notre nonchalance, de notre vie débridée On a laissé une trace en hurlant nos histoires à la gueule du monde Je vous parle d'un temps dont je ne changerai pas une seule seconde La bohème Je vous parle d'un temps La bohème Je vous parle d'un temps Ça voulait dire On est heureux La bohème Je vous parle d'un temps La bohème Je vous parle d'un temps Ça voulait dire La nostalgie comme emblème Entre galères et poèmes À chacun sa bohème Quant au hasard des jours Je m'en vais faire un tour à mon ancienne adresse Je reconnais les rues mais l'esprit n'y est plus Moins d'envie, moins de promesses Reste alors le souvenir qui me donne le sourire Et ce pincement extrême La nostalgie comme emblème entre galères et poèmes À chacun sa bohème"
À contre-amour,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-contre-amour.html,
A l'ombre du Show business,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-l-ombre-du-show-business-ft-charles-aznavour.html,
À ma femme,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-ma-femme.html,
A Ma Fille,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-ma-fille.html,"Je sais qu’un jour viendra Car la vie le commande Ce jour que j’appréhende Où tu nous quitteras Je sais qu’un jour viendra Où triste et solitaire En soutenant ta mère Et en traînant mes pas Je rentrerai chez nous Dans un chez nous désert Je rentrerai chez nous Où tu ne seras pas Toi tu ne verras rien des choses de mon cœur Tes yeux seront crevés de joie et de bonheur Et j’aurai un rictus que tu ne connais pas Qui semble être un sourire ému mais ne l’est pas En taisant ma douleur à ton bras fièrement Je guiderai tes pas quoi que j’en pense ou dise Dans le recueillement d’une paisible église Pour aller te donner à l’homme de ton choix Qui te dévêtira du nom qui est le nôtre Pour t’en donner un autre Que je ne connais pas Je sais qu’un jour viendra Tu atteindras cet âge Où l’on force les cages Ayant trouvé sa voie Je sais qu’un jour viendra L’âge t’aura fleurie Et l’aube de ta vie Ailleurs se lèvera Et seul avec ta mère Le jour comme la nuit L’été comme l’hiver Nous aurons un peu froid Et lui qui ne sait rien du mal qu’on s’est donné Lui qui n’aura rien fait pour mûrir tes années Lui qui viendra voler ce dont j’ai le plus peur Notre part de passé notre part de bonheur Cet étranger sans nom sans visage, ô combien Je le hais, et pourtant s’il doit te rendre heureuse Je n’aurai envers lui, nulle pensée haineuse Mais je lui offrirai mon cœur avec ta main Je ferai tout cela en sachant que tu l’aimes Simplement car je t’aime Le jour où il viendra"
À ma manière,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-ma-maniere.html,"Le jour Qui pour toujours Verra le lourd Rideau de scène Tomber sur moi Je dirai à Dieu d’une voix Très peu chrétienne : « J’ai fait Bon ou mauvais Ce que j’aimais Sur cette terre En histrion À ma façon À ma manière La vie M’a assagi De mes folies Et je déclare Si j’ai connu Des coups tordus J’ai quand même eu Mes jours de gloire À ceux Faux vertueux Qui veulent me Jeter la pierre Je dis, j’ai vu Et tout vécu À ma manière Un jour tyran, l’autre martyr J’en ai bavé, j’ai fait souffrir Jeune femme ou sur le retour Pute au grand coeur, j’ai plein d’amour Surpris vos corps, sans commentaire À ma manière Braillard J’ai pris le quart Sous l’étendard De bien des causes Si l’âge aidant Avec le temps On prend du champ On s’ankylose Moi rien Non vraiment rien N’a mis un frein À mes colères J’ai protesté Et accusé À ma manière Je n’ai jamais pu je l’avoue Vivre sans voix et à genoux De coups de gueule en cris du coeur J’ai su défendre mes valeurs Pour m’assumer, j’ai fait la guerre À ma manière La foi Ça vient ça va Le diable en moi A fait son oeuvre J’ai dérouillé J’ai déraillé Et avalé Quelques couleuvres Depuis Je n’ai commis Qu’un seul délit Celui de faire Chanter mes jours Et mes amours À ma manière »"
A mia foglia,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-mia-foglia.html,"Il giorno arriverà che temo, ma che attendo, In cui, già fatta grande, tu ci lascerai. Il giorno arriverà che con un passo stanco E con tua madre a fianco a casa rientrerò, E casa sembrerà un posto solitario Quando vi arriverò e tu non ci sarai. Tu non sospetterai quello che proverò Negli occhi non avrai che la felicità. Avrò una smorfia che tu non comprenderai, Ti sembrerà un sorriso e non lo sarà In silenzio ti avrò al braccio fieramente E ti accompagnerò pensando a chissà cosa Nella tranquillità raccolta di una chiesa Per darti all'uomo che avrai scelto per te E che dividerà dal tuo il nostro nome Per darti un altro nome che io non so qual'è. Il giorno arriverà in cui, che potrò dire? Io ti vedrò seguire la via che sceglierai, Il giorno arriverà col tempo, piano piano Dell'alba in cui lontano di qui ti sveglierai. Tua madre, come me, vivrà giornate in cui Da un certo freddo il fuoco non la difenderà. E lui che nulla sa delle nostre ansietà E che ti coglierà così come sarai, Verrà a portarci via quel che temo di più: Il passato e la gioia conosciuti con te. Quell'estraneo di cui non so niente, Però odio già, ma poiché potrà farti felice, Non accoglierò mai con aria inquisitrice, Ma a lui con la tua mano il mio cuore offrirò. E questo lo farò perché ti voglio bene E tu gli vorrai bene il giorno in cui verrà."
A Mia Moglie,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-mia-moglie.html,"Quando l'aratro dell'età I nostri visi segnerà Con lunghi solchi che vi avrà Scavato I nostri figli grandi ormai Saranno andati via di qui Per aumentare in fondo a noi Il vuoto Quand'ogni gesto nascerà Più lento nell'intimità Per tutto il tempo che sarà Passato Parlarti allora non sarà Pensare a quello che verrà Ma ricordare tutto ciò Che è stato A passi lenti tu verrai Con me per viali di azalee Senza venire con le idee Più chiare Non sarà facile però Malgrado quello che dirò Negare il tempo che non può Tornare Quando la nostra vita in due Progetti nuovi non avrà Avremo un libro da poter Aprire Memorie scritte insieme a te Senza concluderle perché Solo il finale mancherà Ancora Quando il mio tempo sfiorerà La soglia dell'eternità E qualche cosa mi dirà Ci siamo Quando guardandoti vedrò Che senza il nostro amore, no Non avrai più quei giorni tuoi Di prima Quando più calmo sembrerò E la tua mano cercherò Perché il mio polso batterà Più piano Dopo aver accettato Dio Prima di andarmene, lo so Un'altra volta, se potrò Io ti dirò come un addio Ti amo"
À Propos De Pommier,https://paroles2chansons.lemonde.fr/paroles-charles-aznavour/paroles-a-propos-de-pommier.html,"Un jour le bon Dieu, le front soucieux Se dit ""Mon vieux, ton grand ciel bleu n'a rien de rose"" Plus j'y réfléchis, plus je me dis Qu'il manque ici un paradis, ou autre chose Il fit tant et bien, avec ses mains Et presque rien, en un peu moins D'une semaine Qu'il avait créé les champs, les prés L'hiver, l'été, et aussi les Formes humaines Il les convoqua, leur dit ""Voilà Avec tout ça vous n'avez qu'à Vivre tranquilles Je vous en fais don, tout y est bon Mais attention, à condition D'être dociles Et de me faire la promesse De ne pas toucher au pommier Non, de ne pas toucher au pommier Ah non, hein, de ne pas toucher au pommier"" Le bon Dieu parti, Adam se dit ""Ben mon ami t'es mieux ici Que dans une usine T'as une beauté, une poupée, qui est roulée Comme pour tourner à la Goldwine"" Et ce brave Adam passait le temps En souriant, béatement Comme bien des hommes Sans avoir idée que sa moitié puisse flirter avec un r'pré- Un r'présentant en pommes Ève trouvait charmant et affolant Ce beau Tarzan, nommé Serpent Dit à sornettes Qui sut l'envoûter, la fasciner Lui faire croquer dans la pomme et Perdre la tête Au point d'oublier sa promesse De ne pas toucher aux pommiers Ah non, de ne pas toucher aux pommiers Non, non, de ne pas toucher aux pommiers Tout commence ici, Eve en folie Prit un beau fruit, et le tendit À son p'tit homme Et ce brave Adam, toujours confiant À belles dents, mordit dedans Comme une pomme Lorsque Dieu l'appris, avec mépris Il leur a dit ""Plus d'paradis Je vous condamne À vivre et lutter, à travailler hiver, été"" Et tout ça c'est, c'est à cause d'une femme C'est ainsi depuis que va la vie Même aujourd'hui, l'homme est trahi Dans l'ignorance Et le vieux pommier presque oublié Est remplacé par le péché De complaisance Car les femmes tiennent leur promesse De ne pas toucher aux pommiers Non, de ne pas toucher aux pommiers Car, elles préfèrent goûter au péché C'est si doux, c'est si doux De pouvoir goûter au pêché Ah, c'est si doux, c'est si doux De pouvoir goûter au pêché De goûter au pêché"
